Country,Date,Sentiment Score,Positive,Negative,ratio
AU,13-09-2020,0.131549564,5,12,0.416666667
AU,14-09-2020,0.074196183,2,9,0.222222222
AU,15-09-2020,0.147599068,5,8,0.625
AU,17-09-2020,0.245091259,8,8,1
AU,18-09-2020,-0.04752331,1,12,0.083333333
AU,19-09-2020,0.117857143,6,15,0.4
AU,20-09-2020,0.164230462,7,12,0.583333333
AU,22-09-2020,0.048588564,3,11,0.272727273
AU,23-09-2020,0.032372836,2,5,0.4
AU,24-09-2020,0.160319582,9,8,1.125
AU,25-09-2020,0.099456479,2,6,0.333333333
AU,26-09-2020,-0.01540404,1,8,0.125
AU,27-09-2020,0.08854828,2,10,0.2
AU,28-09-2020,0.120758929,4,10,0.4
AU,29-09-2020,0.077204072,4,12,0.333333333
AU,30-09-2020,-0.005357143,2,5,0.4
AU,02-10-2020,0.045833333,2,4,0.5
AU,03-10-2020,0.260544218,6,8,0.75
AU,04-10-2020,0.224699074,6,12,0.5
AU,06-10-2020,0.19753178,6,8,0.75
AU,07-10-2020,0.204545455,4,12,0.333333333
AU,08-10-2020,0.200549451,10,16,0.625
AU,09-10-2020,0.225810185,12,12,1
AU,10-10-2020,0.155470918,6,20,0.3
AU,11-10-2020,0.092857143,6,8,0.75
AU,12-10-2020,0.163494318,4,12,0.333333333
AU,13-10-2020,0.237405303,6,6,1
AU,14-10-2020,0.17347889,10,18,0.555555556
AU,15-10-2020,0.157166666,6,44,0.136363636
AU,16-10-2020,0.121174242,8,14,0.571428571
AU,17-10-2020,0.043968531,4,22,0.181818182
AU,18-10-2020,0.013035714,2,8,0.25
AU,19-10-2020,0.286479592,6,8,0.75
AU,20-10-2020,0.05900974,4,24,0.166666667
AU,21-10-2020,0.202750947,12,12,1
AU,22-10-2020,0.102533627,8,20,0.4
AU,23-10-2020,0.098214286,6,8,0.75
AU,24-10-2020,0.158636364,4,16,0.25
AU,25-10-2020,0.045475866,6,14,0.428571429
AU,26-10-2020,0.188047695,4,9,0.444444444
AU,28-10-2020,0.478226461,5,1,5
AU,29-10-2020,0.173956163,5,7,0.714285714
AU,30-10-2020,0.196001082,10,8,1.25
AU,31-10-2020,0.307868303,10,6,1.666666667
AU,01-11-2020,0.176338384,7,8,0.875
AU,02-11-2020,0.263541667,8,8,1
AU,03-11-2020,0.257142857,4,3,1.333333333
AU,04-11-2020,0.161432507,7,4,1.75
AU,06-11-2020,0.241666667,3,2,1.5
AU,07-11-2020,-0.001953125,2,6,0.333333333
AU,08-11-2020,0.08566875,1,4,0.25
AU,09-11-2020,0.178125,1,3,0.333333333
AU,10-11-2020,0.014874223,1,8,0.125
AU,11-11-2020,0.141233974,4,9,0.444444444
AU,12-11-2020,0.042485795,2,8,0.25
AU,13-11-2020,0.221398359,6,6,1
AU,14-11-2020,0.158585859,4,5,0.8
AU,15-11-2020,0.0380625,1,4,0.25
AU,16-11-2020,0.113501683,6,9,0.666666667
AU,17-11-2020,0.25547138,7,8,0.875
AU,18-11-2020,0.06017871,2,11,0.181818182
AW,20-05-2020,0.366666667,1,1,1
AZ,27-07-2020,0.125,1,1,1
BB,04-05-2020,0.22875,3,2,1.5
BB,10-05-2020,0.104545455,1,1,1
BB,20-05-2020,0.1125,1,1,1
BB,24-05-2020,0.482244318,1,1,1
BB,09-06-2020,0.1578125,1,1,1
BB,13-06-2020,0.216666667,1,1,1
BB,30-06-2020,0.233333334,1,1,1
BB,29-07-2020,0.097222222,1,1,1
BB,04-08-2020,0.416666667,2,1,2
BD,23-03-2020,0.08125,1,2,0.5
BD,25-03-2020,0.2,1,1,1
BD,11-04-2020,0.425,1,1,1
BD,29-04-2020,0.3125,2,1,2
BD,02-05-2020,0.262121212,1,2,0.5
BD,04-05-2020,0.383333334,1,1,1
BD,05-05-2020,0.136193182,1,3,0.333333333
BD,08-05-2020,0.183333334,1,1,1
BD,20-05-2020,0.25,1,1,1
BD,25-05-2020,0.189393939,2,1,2
BD,31-05-2020,0.390625,1,1,1
BD,07-06-2020,0.303703704,2,1,2
BD,12-06-2020,0.133333333,1,3,0.333333333
BD,16-06-2020,0.079924242,1,3,0.333333333
BD,17-06-2020,0.248295455,2,2,1
BD,18-06-2020,0.25,1,1,1
BD,30-06-2020,0.34375,1,1,1
BD,01-07-2020,-0.125,1,3,0.333333333
BD,07-07-2020,0.178571429,1,1,1
BD,09-07-2020,0.182774621,3,5,0.6
BD,11-07-2020,0.059090909,1,3,0.333333333
BD,12-07-2020,0.1,1,1,1
BD,13-07-2020,0.084090909,1,3,0.333333333
BD,21-07-2020,0.100811688,1,6,0.166666667
BD,25-07-2020,-0.25,1,2,0.5
BD,12-08-2020,0.25,1,1,1
BD,23-08-2020,-0.044444444,1,2,0.5
BD,26-08-2020,0.247727273,1,2,0.5
BD,29-09-2020,-0.05,1,3,0.333333333
BD,16-11-2020,0.2,1,1,1
BE,23-03-2020,0.072727273,1,5,0.2
BE,24-03-2020,0.125,2,2,1
BE,26-03-2020,0.054356061,1,2,0.5
BE,30-03-2020,0.1625,2,2,1
BE,31-03-2020,0.166666667,1,2,0.5
BE,03-04-2020,-0.353125,1,1,1
BE,07-04-2020,0.092592592,1,2,0.5
BE,08-04-2020,0.056481481,1,2,0.5
BE,11-04-2020,-0.011111111,1,7,0.142857143
BE,12-04-2020,0.208887235,3,6,0.5
BE,15-04-2020,-0.022916667,1,3,0.333333333
BE,17-04-2020,0.068535128,2,5,0.4
BE,23-04-2020,-0.14375,1,5,0.2
BE,27-04-2020,0.134375,1,1,1
BE,28-04-2020,0.184444444,1,4,0.25
BE,01-05-2020,0.2,1,2,0.5
BE,02-05-2020,0.161458334,1,3,0.333333333
BE,05-05-2020,0.116666667,1,4,0.25
BE,06-05-2020,0.125,1,1,1
BE,07-05-2020,0.085606061,1,4,0.25
BE,08-05-2020,0.138214286,1,4,0.25
BE,09-05-2020,0.113194444,2,6,0.333333333
BE,10-05-2020,0.310877551,4,1,4
BE,12-05-2020,0.251736111,2,2,1
BE,14-05-2020,0.163541667,2,2,1
BE,17-05-2020,0.2,3,2,1.5
BE,18-05-2020,0.018055555,2,4,0.5
BE,20-05-2020,0,1,1,1
BE,21-05-2020,0.170061728,2,1,2
BE,22-05-2020,0.047767857,1,3,0.333333333
BE,25-05-2020,0.0859375,1,1,1
BE,26-05-2020,0.141666667,1,1,1
BE,28-05-2020,0.096527778,3,5,0.6
BE,29-05-2020,0.043560606,1,2,0.5
BE,31-05-2020,0.294570707,2,1,2
BE,01-06-2020,0.109920635,1,2,0.5
BE,03-06-2020,0.28,1,2,0.5
BE,07-06-2020,0.053109668,1,8,0.125
BE,09-06-2020,0.201190476,2,3,0.666666667
BE,15-06-2020,0.200085227,2,2,1
BE,16-06-2020,0.426262626,2,1,2
BE,18-06-2020,0.217211174,2,1,2
BE,19-06-2020,0.22169697,3,2,1.5
BE,20-06-2020,0.276388889,2,1,2
BE,24-06-2020,0.1125,1,1,1
BE,25-06-2020,0.354791667,2,2,1
BE,27-06-2020,0.475,2,1,2
BE,07-07-2020,0.2175,4,1,4
BE,11-07-2020,0.160714286,1,1,1
BE,21-07-2020,0.02734375,1,3,0.333333333
BE,22-07-2020,0.163194444,1,2,0.5
BE,24-07-2020,0.445833333,2,1,2
BE,29-07-2020,0.061962839,2,5,0.4
BE,02-08-2020,0.200793651,1,2,0.5
BE,12-08-2020,0.388888889,1,2,0.5
BE,14-08-2020,0.13074495,1,2,0.5
BE,15-08-2020,0.111868687,1,2,0.5
BE,16-08-2020,0.143333333,3,2,1.5
BE,18-08-2020,0.191666667,2,3,0.666666667
BE,19-08-2020,0.3,1,1,1
BE,20-08-2020,0.251298701,3,1,3
BE,22-08-2020,0.133333333,1,1,1
BE,26-08-2020,0.136587302,2,3,0.666666667
BE,27-08-2020,0.183333334,1,1,1
BE,02-09-2020,0.192592593,2,1,2
BE,06-09-2020,0.2475,1,1,1
BE,08-10-2020,0.075,2,2,1
BE,11-10-2020,0.108080808,2,4,0.5
BE,19-10-2020,0.3,2,2,1
BE,30-10-2020,0.05,1,3,0.333333333
BE,31-10-2020,-0.040972222,1,5,0.2
BE,02-11-2020,0.141319445,2,4,0.5
BE,08-11-2020,0.193181818,1,1,1
BE,12-11-2020,0.125,1,3,0.333333333
BG,10-06-2020,0.2765625,1,1,1
BG,03-09-2020,0.208333334,1,1,1
BG,14-11-2020,0.25,1,1,1
BH,01-05-2020,0.25,1,1,1
BH,14-06-2020,0.2,2,1,2
BH,19-07-2020,0.025,1,15,0.066666667
BL,18-06-2020,0.133333333,1,2,0.5
BM,01-07-2020,0.1,1,1,1
BR,21-03-2020,-0.038888889,1,2,0.5
BR,22-03-2020,0.223809524,4,3,1.333333333
BR,23-03-2020,0.225,5,5,1
BR,24-03-2020,0.471482684,7,5,1.4
BR,25-03-2020,0.2625,3,2,1.5
BR,26-03-2020,0.021296296,1,5,0.2
